gene_id	transcript_id(s)	3h_Sal-Brk-dark_2	3h_Sal-Brk-dark_3	3h_Sal-Brk-light_2	3h_Sal-Brk-light_3	3h_Ubi-Brk-light_2	3h_Ubi-Brk-light_3
FBgn0013269	FBtr0083120	31129.00	32877.00	27939.00	34932.00	25607.00	24111.00
FBgn0013272	FBtr0071813,FBtr0071814,FBtr0071815,FBtr0071816,FBtr0342985,FBtr0342986	49727.00	64652.00	74294.00	67062.00	79738.00	77494.00
FBgn0013275	FBtr0082512	952.98	371.35	523.78	1422.64	530.20	70.65
FBgn0013276	FBtr0082482	21811.41	12693.29	10545.38	20936.81	17761.73	5950.20
FBgn0013277	FBtr0082679	1015.57	201.03	251.50	744.56	327.20	97.69
FBgn0013278	FBtr0082637	9416.30	2772.66	4068.93	8399.55	6733.46	2481.79
FBgn0013279	FBtr0082638	762.08	307.34	330.31	799.16	386.43	78.70
FBgn0013300	FBtr0080682,FBtr0345434	0.00	0.00	0.00	0.00	0.00	2.00
FBgn0013301	FBtr0080681	0.00	0.00	0.00	1.00	0.00	6.00
FBgn0013303	FBtr0074902	1873.71	2111.84	2322.77	2415.23	2228.54	2201.01
FBgn0013305	FBtr0089873,FBtr0089874,FBtr0089875,FBtr0089876,FBtr0089877,FBtr0089878,FBtr0309294,FBtr0309295,FBtr0332883	2385.00	2714.00	2923.00	2695.00	3351.00	3385.00
FBgn0013307	FBtr0088863	12.00	0.00	0.00	0.00	0.00	0.00
FBgn0013308	FBtr0088864	3.00	0.00	0.00	0.00	0.00	0.00
FBgn0013323	FBtr0333746,FBtr0346650,FBtr0346726	0.00	0.00	4.00	1.00	3.00	0.00
FBgn0013325	FBtr0086533,FBtr0340533	78694.00	86792.00	88430.00	88824.00	98963.00	92900.00
FBgn0013334	FBtr0083204,FBtr0083205,FBtr0083206,FBtr0083207,FBtr0083208,FBtr0083209,FBtr0083210,FBtr0301655,FBtr0310672,FBtr0344384,FBtr0474164,FBtr0474165	3480.00	3475.00	3909.00	4007.00	3988.00	4299.00
FBgn0013342	FBtr0072815,FBtr0072819,FBtr0300893,FBtr0300894,FBtr0302310,FBtr0306578,FBtr0331461,FBtr0331462	13.00	15.00	7.00	16.00	6.00	3.00
FBgn0013343	FBtr0084588,FBtr0303161,FBtr0392904	3914.56	5639.75	5424.11	5585.13	5299.62	5580.97
FBgn0013347	FBtr0084526	3666.00	3950.00	4079.00	4156.00	4039.00	4102.00
FBgn0013348	FBtr0086102,FBtr0310003	2.00	3.00	1.00	7.00	1.00	0.00
FBgn0013432	FBtr0070431	1106.00	1296.00	1231.00	1406.00	1202.00	1234.00
FBgn0013433	FBtr0080806,FBtr0343728	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013435	FBtr0088429	1190.00	1071.00	1091.00	1335.00	1092.00	1128.00
FBgn0013467	FBtr0087361,FBtr0087362,FBtr0332267	6.00	4.00	2.00	1.00	2.00	4.00
FBgn0013469	FBtr0076247,FBtr0330080,FBtr0333361,FBtr0345346	1540.00	1832.00	3001.00	2207.00	2295.00	2917.00
FBgn0013531	FBtr0079544,FBtr0329946	896.00	1002.00	1020.00	1046.00	860.00	960.00
FBgn0013548	FBtr0072085	2651.00	2818.00	2810.00	2990.00	2666.00	2558.00
FBgn0013563	FBtr0075777	887.00	717.00	891.00	761.00	816.00	842.00
FBgn0013576	FBtr0078810,FBtr0078811,FBtr0078812,FBtr0078813,FBtr0078814,FBtr0078815,FBtr0078816,FBtr0078817,FBtr0078818,FBtr0100197,FBtr0100199,FBtr0110932,FBtr0110933,FBtr0273430,FBtr0273431,FBtr0273432,FBtr0273433,FBtr0273434,FBtr0306694,FBtr0306695,FBtr0308580,FBtr0308581,FBtr0333695	8382.00	8792.00	9810.00	9540.00	10721.00	10700.00
FBgn0013672	FBtr0433498	24118.00	27013.00	19274.00	23336.00	17512.00	17617.00
FBgn0013673	FBtr0100866	15.00	14.00	7.00	16.00	6.00	9.00
FBgn0013674	FBtr0100861	146571.00	190813.00	181394.00	187907.00	175715.00	177177.00
FBgn0013675	FBtr0100863	40248.00	52515.00	45026.00	44103.00	49210.00	43313.00
FBgn0013676	FBtr0100868	64020.00	82365.00	76507.00	79537.00	78548.00	74423.00
FBgn0013678	FBtr0433502	49624.00	61691.00	55352.00	55691.00	52660.00	53376.00
FBgn0013679	FBtr0433499	9255.00	10527.00	7515.00	6959.00	7205.00	6667.00
FBgn0013680	FBtr0100857	1153.00	1245.00	1220.00	959.00	1160.00	1089.00
FBgn0013681	FBtr0100870	2497.00	2393.00	1643.00	1597.00	1890.00	1364.00
FBgn0013683	FBtr0100880	115.00	146.00	143.00	109.00	120.00	114.00
FBgn0013684	FBtr0433501	21450.00	22051.00	19552.00	19368.00	17380.00	16907.00
FBgn0013685	FBtr0100883	311.00	288.00	212.00	156.00	228.00	154.00
FBgn0013686	FBtr0100888	1367009.00	2126353.00	1885665.00	1734102.00	2133208.00	1853107.00
FBgn0013687	FBgn0013687_df_pt	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013688	FBtr0100890	212.00	293.00	303.00	191.00	247.00	296.00
FBgn0013689	FBtr0100871	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013690	FBtr0100859	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013691	FBtr0100865	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013692	FBtr0100875	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013693	FBtr0100876	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013694	FBtr0100869	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013695	FBtr0100878	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013696	FBtr0100854	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013697	FBtr0100864	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013698	FBtr0100887	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013699	FBtr0100862	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013700	FBtr0100856	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013701	FBtr0100873	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013702	FBtr0100882	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013703	FBtr0100855	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013704	FBtr0100872	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013705	FBtr0100874	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013706	FBtr0100885	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013707	FBtr0100881	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013708	FBtr0100889	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013709	FBtr0100858	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013710	FBtr0100860	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0013717	FBtr0290259,FBtr0346438	2499.00	2485.00	2866.00	2879.00	2511.00	2912.00
FBgn0013718	FBtr0100039,FBtr0100040,FBtr0100041,FBtr0100042,FBtr0100043,FBtr0100044,FBtr0306619,FBtr0306620,FBtr0306622,FBtr0306623,FBtr0306624,FBtr0307191	5731.00	5943.00	6505.00	6154.00	6973.00	7040.00
FBgn0013720	FBtr0070255,FBtr0070256,FBtr0100198	7392.00	10049.00	9218.00	9852.00	10099.00	9704.00
FBgn0013725	FBtr0087516	31.00	64.00	88.00	51.00	62.00	109.00
FBgn0013726	FBtr0088792,FBtr0088793	19182.00	19164.00	18050.00	19773.00	16274.00	16021.00
FBgn0013732	FBtr0086110,FBtr0336663	1626.00	1588.00	1941.00	1784.00	1673.00	1996.00
FBgn0013733	FBtr0087616,FBtr0087617,FBtr0087618,FBtr0087619,FBtr0087620,FBtr0087621,FBtr0273222,FBtr0273223,FBtr0273224,FBtr0273225,FBtr0273226,FBtr0301591,FBtr0301592,FBtr0301593,FBtr0301964,FBtr0304847,FBtr0304848,FBtr0304849,FBtr0304850,FBtr0304851,FBtr0304852,FBtr0304853	29486.00	21315.00	32068.00	25921.00	29718.00	29633.00
FBgn0013746	FBtr0079780,FBtr0079781,FBtr0339550,FBtr0343095	5305.00	4714.00	4984.00	5197.00	4966.00	4689.00
FBgn0013749	FBtr0089192,FBtr0333699	3432.00	3553.00	3627.00	3676.00	3541.00	3561.00
FBgn0013750	FBtr0087375,FBtr0087376,FBtr0087377,FBtr0087378,FBtr0087379	4780.00	5128.00	4825.00	5538.00	4778.00	4801.00
FBgn0013751	FBtr0073155,FBtr0073156,FBtr0330070,FBtr0330071	43.00	61.00	120.00	54.00	118.00	166.00
FBgn0013753	FBtr0072758,FBtr0330180	3445.00	3622.00	3810.00	4149.00	3724.00	3852.00
FBgn0013755	FBtr0072760	5.00	2.00	1.00	0.00	1.00	2.00
FBgn0013756	FBtr0088033,FBtr0332464	28668.00	22454.00	27490.00	26372.00	25527.00	24478.00
FBgn0013759	FBtr0084161,FBtr0084162,FBtr0112872,FBtr0112873,FBtr0301327,FBtr0301328,FBtr0330368,FBtr0479755	3398.14	3693.68	3965.14	3700.06	4100.69	4062.78
FBgn0013762	FBtr0087350	857.00	758.00	962.00	1008.00	1092.00	1104.00
FBgn0013763	FBtr0087111,FBtr0340066	5621.00	5086.00	4087.00	5186.00	6985.00	5281.00
FBgn0013764	FBtr0072191,FBtr0072192	4413.00	4670.00	4977.00	5236.00	4862.00	5086.00
FBgn0013765	FBtr0087703,FBtr0087704,FBtr0100654,FBtr0100656,FBtr0301395,FBtr0306635,FBtr0309888,FBtr0309889,FBtr0309890,FBtr0309891,FBtr0309892,FBtr0309893	5979.00	4942.00	5592.00	5447.00	5488.00	5029.00
FBgn0013767	FBtr0082927	0.00	0.00	0.00	2.00	0.00	0.00
FBgn0013770	FBtr0087592,FBtr0087593,FBtr0304021,FBtr0339955	9477.74	12925.64	13510.48	13589.46	14803.64	14450.11
FBgn0013771	FBtr0300128	82.18	48.92	57.41	56.00	32.00	20.95
FBgn0013772	FBtr0087455	0.00	0.00	2.00	0.00	1.00	17.00
FBgn0013773	FBtr0087450,FBtr0339983,FBtr0345526	5.00	6.00	1.00	3.00	9.00	8.00
FBgn0013799	FBtr0074882,FBtr0100666,FBtr0310476,FBtr0332153,FBtr0332726	3450.00	3843.00	3852.00	4190.00	3782.00	3828.00
FBgn0013810	FBtr0304742,FBtr0479836	2.00	2.00	11.00	8.00	9.00	17.00
FBgn0013811	FBtr0303106	154.00	138.00	161.00	156.00	144.00	148.00
FBgn0013812	FBtr0273236,FBtr0336774	40.00	65.00	156.00	86.00	122.00	197.00
FBgn0013813	FBtr0301302,FBtr0301303,FBtr0337034	5.00	4.00	3.00	4.00	4.00	13.00
FBgn0013949	FBtr0084708,FBtr0084709,FBtr0334571	18.00	38.00	15.00	12.00	14.00	6.00
FBgn0013953	FBtr0084703,FBtr0304054	30.00	43.00	58.00	24.00	136.00	134.00
FBgn0013954	FBtr0086515	27387.00	31188.00	27973.00	31546.00	27709.00	26958.00
FBgn0013972	FBtr0085453	2.00	0.00	1.00	0.00	0.00	1.00
FBgn0013973	FBtr0085753	5.00	1.00	2.00	2.00	0.00	2.00
FBgn0013981	FBtr0082962,FBtr0082963,FBtr0082964,FBtr0334029	24507.00	29385.00	30467.00	29817.00	32504.00	31746.00
FBgn0013983	FBtr0086725,FBtr0345891	670.00	679.00	797.00	691.00	687.00	790.00
FBgn0013987	FBtr0070837,FBtr0070839,FBtr0302940,FBtr0308577	6141.00	6152.00	6201.00	6908.00	6338.00	6315.00
FBgn0013995	FBtr0083998,FBtr0083999,FBtr0084000,FBtr0309202,FBtr0309203,FBtr0309204,FBtr0309205,FBtr0344316,FBtr0344317	25.00	1.00	4.00	18.00	3.00	10.00
FBgn0013997	FBtr0075998,FBtr0075999	14809.00	14691.00	18827.00	16625.00	19935.00	19098.00
FBgn0014000	FBtr0081306	14.00	6.00	1.00	5.00	1.00	6.00
FBgn0014006	FBtr0083819,FBtr0300256	6234.00	5175.00	6483.00	5520.00	6464.00	6266.00
FBgn0014007	FBtr0075913,FBtr0075914	4044.00	4122.00	4791.00	4461.00	5156.00	5142.00
FBgn0014009	FBtr0086124,FBtr0336658	2918.00	2641.00	2888.00	2915.00	2872.00	3014.00
FBgn0014010	FBtr0077793,FBtr0077794,FBtr0077795,FBtr0077796,FBtr0077797,FBtr0077798,FBtr0330668,FBtr0330669,FBtr0330670	6430.00	6605.00	7536.00	7548.00	7172.00	7721.00
FBgn0014011	FBtr0076867,FBtr0332800	3217.00	3460.00	4287.00	3823.00	4082.00	4256.00
FBgn0014018	FBtr0089338,FBtr0089339,FBtr0089340,FBtr0089341	3281.00	2639.00	3114.00	3226.00	2844.00	3043.00
FBgn0014019	FBtr0080291,FBtr0342591	16.00	15.00	27.00	30.00	21.00	19.00
FBgn0014020	FBtr0087211,FBtr0087212,FBtr0087213,FBtr0087214,FBtr0087216,FBtr0087217	22680.00	23336.00	23636.00	26238.00	21890.00	21531.00
FBgn0014022	FBtr0082062	1156.00	1184.00	1231.00	1287.00	1214.00	1256.00
FBgn0014023	FBtr0082121	2104.00	2253.00	2182.00	2383.00	1938.00	1980.00
FBgn0014024	FBtr0070752,FBtr0070753,FBtr0112876,FBtr0340477	6408.00	6431.00	6404.00	7166.00	6276.00	6190.00
FBgn0014026	FBtr0070915,FBtr0070916,FBtr0343328,FBtr0343329,FBtr0345293	168650.00	191656.00	197514.00	189841.00	216121.00	201642.00
FBgn0014028	FBtr0086156	8132.00	8597.00	7042.00	8631.00	7456.00	6643.00
FBgn0014029	FBtr0083945,FBtr0334579	7921.00	7845.00	8250.00	8564.00	8089.00	8355.00
FBgn0014031	FBtr0070913	32.00	15.00	16.00	14.00	12.00	20.00
FBgn0014032	FBtr0071241	2410.00	2282.00	2229.00	2622.00	2382.00	2089.00
FBgn0014033	FBtr0077467,FBtr0346582	150.00	53.00	77.00	35.00	29.00	51.00
FBgn0014037	FBtr0074920,FBtr0302047,FBtr0344257	10715.00	12456.00	14445.00	12866.00	13736.00	14548.00
FBgn0014073	FBtr0073323	1229.00	1508.00	1636.00	1361.00	1992.00	1938.00
FBgn0014075	FBtr0075064	8269.00	10456.00	11282.00	10898.00	11247.00	10579.00
FBgn0014076	FBtr0080216,FBtr0343618	5.00	5.00	6.00	7.00	3.00	4.00
FBgn0014092	FBtr0080834	1979.00	1835.00	1899.00	1850.00	1628.00	1668.00
FBgn0014127	FBtr0081348,FBtr0081349,FBtr0343850	7436.00	6601.00	7581.00	7601.00	7736.00	7430.00
FBgn0014133	FBtr0073526,FBtr0073527,FBtr0334463,FBtr0334464,FBtr0334465	17996.00	18213.00	21270.00	20627.00	21310.00	21849.00
FBgn0014135	FBtr0083795,FBtr0300123,FBtr0344549	305.00	403.00	440.00	415.00	409.00	406.00
FBgn0014141	FBtr0089471,FBtr0089473,FBtr0290013,FBtr0290014,FBtr0290015,FBtr0303364,FBtr0332167,FBtr0337101,FBtr0479929,FBtr0479930	57106.00	33907.00	39016.00	39135.00	39143.00	33882.00
FBgn0014143	FBtr0078395	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0014163	FBtr0075412,FBtr0075413,FBtr0100477,FBtr0100478,FBtr0331175,FBtr0331176	73403.00	101292.00	109611.00	106467.00	100927.00	106705.00
FBgn0014179	FBtr0079855,FBtr0335492	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0014184	FBtr0088013,FBtr0088014,FBtr0088015	17073.32	18270.80	22695.00	19718.97	21927.00	21758.84
FBgn0014189	FBtr0079123,FBtr0079124,FBtr0079125,FBtr0331676	27261.00	27128.00	27362.00	29777.00	26143.00	25304.00
FBgn0014269	FBtr0086601	3506.00	3756.00	3954.00	4151.00	3824.00	3744.00
FBgn0014340	FBtr0070829	2250.00	2059.00	2621.00	2218.00	2901.00	2710.00
FBgn0014342	FBtr0089313,FBtr0300009,FBtr0346136	986.00	1002.00	958.00	1091.00	969.00	850.00
FBgn0014343	FBtr0075911,FBtr0075912,FBtr0330077	6163.00	7121.00	7674.00	7730.00	6704.00	7073.00
FBgn0014366	FBtr0078751	5374.00	5326.00	5537.00	5733.00	5125.00	5179.00
FBgn0014368	FBtr0076214	108.00	26.00	27.00	30.00	32.00	118.00
FBgn0014380	FBtr0082124,FBtr0305340	520.00	575.00	600.00	667.00	569.00	629.00
FBgn0014388	FBtr0073145,FBtr0073146	6323.00	7721.00	7089.00	7288.00	7410.00	7107.00
FBgn0014391	FBtr0074176,FBtr0074177	5328.00	5771.00	4862.00	5337.00	5119.00	4470.00
FBgn0014395	FBtr0077345	0.00	2.00	5.00	2.00	5.00	12.00
FBgn0014396	FBtr0077567,FBtr0333252,FBtr0333253,FBtr0333254,FBtr0333255,FBtr0333256,FBtr0333258,FBtr0333259,FBtr0445397	3.00	4.00	0.00	0.00	2.00	0.00
FBgn0014411	FBtr0070311	4891.00	4728.00	5123.00	5621.00	4838.00	4794.00
FBgn0014417	FBtr0079711,FBtr0331991	122.00	180.00	195.00	148.00	309.00	315.00
FBgn0014427	FBtr0085390	226.00	492.00	2312.00	652.00	849.00	2573.00
FBgn0014454	FBtr0079500	3.97	15.00	10.00	1.07	3.00	7.95
FBgn0014455	FBtr0074030,FBtr0332590,FBtr0346181	20594.00	20670.00	18643.00	20440.00	17807.00	16534.00
FBgn0014464	FBtr0100003,FBtr0114578	3.00	1.00	1.00	1.00	5.00	2.00
FBgn0014465	FBtr0071201,FBtr0302936	0.00	2.00	0.00	0.00	1.00	0.00
FBgn0014466	FBtr0071202	3.00	0.00	0.00	1.00	0.00	0.00
FBgn0014469	FBtr0088745,FBtr0339278	68.00	76.00	89.00	88.00	208.00	267.00
FBgn0014848	FBtr0305334	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0014849	FBtr0075574,FBtr0332123	0.00	0.00	1.00	0.00	0.00	0.00
FBgn0014850	FBtr0075582	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0014851	FBtr0075575	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0014857	FBtr0079010,FBtr0333536,FBtr0333537	11511.00	13343.00	11913.00	13368.00	13693.30	12601.00
FBgn0014859	FBtr0081397,FBtr0301347	46.00	52.00	41.00	72.00	21.00	12.00
FBgn0014861	FBtr0081827	9951.00	8407.00	9016.00	8982.00	8451.00	7717.00
FBgn0014863	FBtr0081616,FBtr0081617,FBtr0346967	1377.00	111.00	230.00	1095.00	219.00	469.00
FBgn0014865	FBtr0087386	1.00	0.00	0.00	2.00	0.00	3.00
FBgn0014868	FBtr0071344	12415.00	15622.00	17125.00	16268.00	18647.00	17573.00
FBgn0014869	FBtr0085384,FBtr0100482,FBtr0100483	3868.00	3138.00	3450.00	3689.00	3125.00	3431.00
FBgn0014870	FBtr0087072,FBtr0087073,FBtr0087074	14147.00	12290.00	13932.00	13790.00	13406.00	13209.00
FBgn0014877	FBtr0087675	2466.00	2332.00	2066.00	2504.00	1928.00	1759.00
FBgn0014879	FBtr0083062	19007.00	18277.00	17558.00	20228.00	17012.00	16315.00
FBgn0014903	FBtr0070175	466.03	462.58	412.82	441.07	461.59	436.13
FBgn0014906	FBtr0077576,FBtr0308315,FBtr0332371	2794.00	3283.00	2994.00	3065.00	3431.00	2922.00
FBgn0014930	FBtr0081763,FBtr0339712	1161.00	1194.00	1171.00	1169.00	1225.00	1260.00
FBgn0014931	FBtr0081757,FBtr0304703	13.00	19.00	20.00	36.00	34.00	39.00
FBgn0014949	FBtr0084278	0.00	0.00	0.00	0.00	0.00	3.00
FBgn0015000	FBtr0078991,FBtr0330714	1621.00	1720.00	1861.00	1831.00	1769.00	1800.00
FBgn0015001	FBtr0088125	0.00	0.00	0.00	1.00	0.00	0.00
FBgn0015008	FBtr0083380	0.00	0.00	0.00	0.00	0.00	1.00
FBgn0015010	FBtr0073937,FBtr0305582,FBtr0333658	6.00	16.00	15.00	8.00	69.00	42.00
FBgn0015011	FBtr0083378,FBtr0083379	166.00	182.00	288.00	231.00	471.00	397.00
FBgn0015019	FBtr0083337,FBtr0083338,FBtr0302370,FBtr0302371	33073.00	34477.00	31900.00	35327.00	30003.00	27594.00
FBgn0015024	FBtr0073680,FBtr0073682,FBtr0300380,FBtr0340408,FBtr0345162,FBtr0345163	19125.00	21990.00	22658.00	23955.00	21706.00	21849.00
FBgn0015025	FBtr0075504	265.00	289.00	299.00	271.00	333.00	299.00
FBgn0015031	FBtr0079072,FBtr0307034,FBtr0307035	5435.00	6048.00	5290.00	6370.00	5439.00	5017.00
FBgn0015032	FBtr0085712	5.00	0.00	4.00	15.00	125.00	3.00
FBgn0015033	FBtr0479896	2.00	4.00	4.00	4.00	2.00	13.00
FBgn0015034	FBtr0088746	10.00	13.00	20.00	21.00	37.00	37.00
FBgn0015035	FBtr0079925	0.00	0.00	2.00	0.00	2.00	24.00
FBgn0015036	FBtr0070388	10.00	10.00	9.00	5.00	6.00	13.00
FBgn0015037	FBtr0088592	2034.00	2922.00	1975.00	2828.00	1209.00	1317.00
FBgn0015038	FBtr0089056	6.00	1.00	4.00	2.00	0.00	0.00
FBgn0015039	FBtr0089055	33.00	5.00	387.00	23.00	20.00	15.00
FBgn0015040	FBtr0072321	3252.00	3376.00	3604.00	3319.00	5822.00	4798.00
FBgn0015075	FBtr0078492	4910.00	4375.00	5043.00	4793.00	4913.00	4828.00
FBgn0015218	FBtr0076487,FBtr0076488,FBtr0076489,FBtr0076490,FBtr0076491,FBtr0076492,FBtr0076493,FBtr0333884,FBtr0333885	17122.00	16827.00	18286.00	18826.00	18061.00	17884.00
FBgn0015221	FBtr0085622,FBtr0085623,FBtr0085624,FBtr0332168,FBtr0332169	9032.00	11774.00	12820.00	11739.00	14892.00	14249.00
FBgn0015222	FBtr0085631,FBtr0085632,FBtr0085633,FBtr0085634,FBtr0085635,FBtr0306587,FBtr0306588,FBtr0332170,FBtr0344763	10972.00	13146.00	15175.00	13384.00	17930.00	17338.00
FBgn0015229	FBtr0084157	1041.00	1169.00	2267.00	1400.00	2092.00	2470.00
FBgn0015230	FBtr0083340	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0015239	FBtr0078389,FBtr0078390,FBtr0078391,FBtr0078392,FBtr0303653,FBtr0303654	5166.00	5348.00	6403.00	5918.00	5810.00	6539.00
FBgn0015240	FBtr0084756	808.00	811.00	938.00	811.00	1011.00	981.00
FBgn0015245	FBtr0073434,FBtr0073435	52510.00	51682.00	45505.00	50855.00	39638.00	37550.00
FBgn0015247	FBtr0087296,FBtr0087297	2411.00	2444.00	2788.00	2527.00	3184.00	3046.00
FBgn0015268	FBtr0072219,FBtr0305989,FBtr0305990	37217.00	38392.00	35759.00	40503.00	33623.00	31847.00
FBgn0015269	FBtr0084952,FBtr0084953,FBtr0100113,FBtr0330182,FBtr0330183	3215.00	2371.00	3562.00	2701.00	3423.00	3622.00
FBgn0015270	FBtr0082866	1999.00	2037.00	1883.00	2126.00	1681.00	1440.00
FBgn0015271	FBtr0080543	1616.00	1572.00	1590.00	1594.00	1494.00	1321.00
FBgn0015277	FBtr0072064	1419.00	1294.00	1488.00	1453.00	1552.00	1557.00
FBgn0015278	FBtr0076086,FBtr0076087,FBtr0076088,FBtr0301816,FBtr0332055	6047.00	4581.00	5937.00	5111.00	5689.00	5855.00
FBgn0015279	FBtr0083940,FBtr0083941,FBtr0334643	5681.00	4985.00	5950.00	5428.00	5861.00	5943.00
FBgn0015282	FBtr0084520,FBtr0346154	15348.00	14845.00	15064.00	16798.00	14448.00	14032.00
FBgn0015283	FBtr0078368,FBtr0333453	9275.00	9078.00	9071.00	10133.00	8885.00	8564.00
FBgn0015286	FBtr0070582,FBtr0070583,FBtr0070584	3386.00	3678.00	3190.00	3786.00	3127.00	3101.00
FBgn0015288	FBtr0070148	110007.49	127807.69	128380.52	129453.92	142193.99	135532.52
FBgn0015295	FBtr0087244	2524.00	2212.00	2903.00	2412.00	2989.00	3065.00
FBgn0015296	FBtr0076458	2480.00	2302.00	2815.00	2606.00	2669.00	2911.00
FBgn0015298	FBtr0076879	1517.00	1609.00	1608.00	1847.00	1670.00	1619.00
FBgn0015299	FBtr0079590	2514.00	2612.00	2206.00	2430.00	2499.00	2199.00
FBgn0015300	FBtr0072351	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0015316	FBtr0301665,FBtr0345312	114.00	113.00	130.00	131.00	166.00	158.00
FBgn0015320	FBtr0080115,FBtr0080116,FBtr0333492,FBtr0345437	6002.00	6706.00	6611.00	7043.00	6290.00	6259.00
FBgn0015321	FBtr0076395,FBtr0345603,FBtr0345604	5147.00	4940.00	5231.00	5654.00	5165.00	5075.00
FBgn0015331	FBtr0078967	2033.00	1623.00	1898.00	1849.00	1980.00	2009.00
FBgn0015336	FBtr0074375	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0015338	FBtr0080850	2735.00	3368.00	3334.00	3191.00	3627.00	3275.00
FBgn0015351	FBtr0336486	467.00	473.00	551.00	476.00	574.00	499.00
FBgn0015359	FBtr0072877,FBtr0332664	2221.00	2408.00	2128.00	2460.00	2271.00	2114.00
FBgn0015360	FBtr0072904	1314.00	1424.00	1382.00	1353.00	1483.00	1276.00
FBgn0015371	FBtr0087415,FBtr0087416,FBtr0111006,FBtr0111007,FBtr0305213,FBtr0305214,FBtr0305215,FBtr0305216,FBtr0305217	10391.00	8924.00	9078.00	9667.00	9740.00	8882.00
FBgn0015372	FBtr0072120	839.00	910.00	1026.00	1092.00	1123.00	1099.00
FBgn0015376	FBtr0077541	2230.00	2008.00	1962.00	2009.00	1823.00	1660.00
FBgn0015379	FBtr0077193	3368.00	4114.00	3509.00	4110.00	3680.00	3577.00
FBgn0015380	FBtr0081195,FBtr0330209	9696.00	12220.00	14149.00	12931.00	16540.00	16193.00
FBgn0015381	FBtr0079145,FBtr0333245	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0015391	FBtr0080935	12369.00	10387.00	11669.00	11457.00	11124.00	10371.00
FBgn0015396	FBtr0082237	9311.00	8863.00	10940.00	9553.00	10890.00	10417.00
FBgn0015399	FBtr0332210,FBtr0346702	11547.00	18668.00	21241.00	17552.00	23952.00	24609.00
FBgn0015400	FBtr0080252	28.00	56.00	57.00	37.00	64.00	96.00
FBgn0015402	FBtr0078766,FBtr0344272,FBtr0344273,FBtr0344274	3126.00	2925.00	3300.00	2962.00	3279.00	3419.00
FBgn0015477	FBtr0088618,FBtr0339370	10063.00	7411.00	9001.00	7981.00	8436.00	8196.00
FBgn0015509	FBtr0088845,FBtr0088846,FBtr0088847,FBtr0088848	13508.00	11703.00	14018.00	13004.00	13545.00	14174.00
FBgn0015513	FBtr0084459,FBtr0304729	4286.00	3651.00	4525.00	4018.00	4523.00	4632.00
FBgn0015519	FBtr0289988,FBtr0339652	12.00	27.00	23.00	15.00	34.00	33.00
FBgn0015520	FBtr0083335,FBtr0333727	1185.00	1201.00	1498.00	1391.00	1401.00	1512.00
FBgn0015521	FBtr0077621,FBtr0077622,FBtr0077623,FBtr0273293,FBtr0335131	33035.00	41011.00	39772.00	39439.00	48984.00	43085.00
FBgn0015522	FBtr0086799	29.00	35.00	51.00	38.00	41.00	69.00
FBgn0015524	FBtr0110772,FBtr0290289,FBtr0342795,FBtr0342796,FBtr0342797,FBtr0342798,FBtr0342799,FBtr0342800,FBtr0474157	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0015527	FBtr0077223	9538.00	9611.00	8460.00	10264.00	7151.00	6825.00
FBgn0015543	FBtr0088037	0.00	0.00	0.00	0.00	0.00	0.00
FBgn0015544	FBtr0072256	1821.00	1810.00	1910.00	1864.00	1736.00	1694.00
FBgn0015546	FBtr0080630,FBtr0309281,FBtr0344018,FBtr0344019	5409.00	4394.00	4905.00	4732.00	4503.00	4317.00
